Ý
[Acronyms.Lst Version 2.00 5/6/2005
[Compiled by p_elphick@cix.co.uk aka cotal@cotal.co.uk]
[This file is copyright and may not be re-distributed outside the CIX conferencing system without permission]
[topic info]
ameol
serious
fun
chatter
Ý

[common]
1VHB	One Very Happy Bunny
:v)	Left-pointing broken nose/Left-pointing nose
:-v)	Tongue in cheek
:V)	Woodpecker
:-W	Shout with forked tongue
:-w	Speak with forked tongue
:-X	A big wet kiss!/Bow tie/My lips are sealed
:-x	My lips are sealed/Kiss kiss/Not telling any secrets
:X)	Hearing no evil
:-Y	A quiet aside
:-z	Yet another cross smiley
;-(	Beaten up/Crying/Getting fresh/Sardonic/Winking
;(	Crying
;-)	Wink ( take this message with a grain of salt)/Nudge-nudge
;;;-	Does not convert
;-\	Popeye beaten up
;^)	Tongue in cheek
;^?	Punched out
;-|	Beaten up but silent
;}	Rakish/Cavalier
?-(	Has black eye
@-)	Cyclops
@.'v	(profile) Has curly hair
@:-)	Indian (East)/User is wearing a turban/Wavy hair
@:I	Turban
@=	User is pro-nuclear war
@==	Nuclear Mushroom Cloud
[[:-)	User is wearing a walkman/Listening to walkman
[[:-]	Square head
[[:]	User is a robot
[[:|]	Robot (or other AI project)
[[]	Hugs
\o/first post! (The mental image is that of a person's head and arms, with the latter raised in jubilation)
\/\/\/\,8-O	Really should fix frayed line cord on terminal
\:-)	French hat
]:-)	The Devil
_:^)	American Indian
__.	Properly chastised and/or chagrined/Merely asleep
__/~`-'~\_/	Line of thought isn't quite a line
__Q~`__	Cat
_|\_o_	Grovelling In The Dirt
`:-)	User shaved his right eyebrow off this morning
{(:-)	Wearing toupee
{:-)	Hair parted in the middle/New hair style/Wearing a toupee
{:^=(	Hitler
{:-{)}	New hair style/Moustache and beard
{{-}}}	Refugee from the '60's
{}	No comment
{0-)	Cyclops
|-(	Late night messages
|-)	Chinese/Asleep (boredom)/Hee hee
|)	Salamander
|:-)	Heavy eyebrows
|:['	Groucho Marx
|:-|	Excessively rigid
|^o	Snoring
|-{	Good Grief!  (Charlie Brown?)
|~(	Someone just busted my nose.
|-D	Ho ho
|I	Asleep
|-I	Sleeping
|-O	Birth/Bored/Yawning/snoring
|-P	Yuk
}	Try this then
}(:-(	Wearing toupee in wind
}:-(	Bull headed/Toupee in an updraught
}:-)	Hair parted in the middle in an updraught
}:^#})	Mega-smiley/Bushy-moustached pointy nosed smiley with a double-chin
}:~#})	Mega-smiley/Bushy-moustached smiley with a double-chin
}:-<	Cat
'~;E	Unspecified 4-legged critter
~~:-(	net.flame
~~~\8-O	Zapped by frayed cord on terminal
~~~~~8}	Snake
~M`'~	Camel
~'v	(profile) Has long bangs
+-(:-)	I'm the Pope
+:-)	Priest
+<.'v	(profile) Knight
+<:-|	Message from a monk/nun
+<||-)	Knight
+O:-)	The Pope
<&&>	Message concerning rubber chickens
<:-(	Disappointed/dunce/Dumb questions
<:-)	Vietnamese peasant/Dumb questions
<:-)<<|	In a space rocket
<:>=	Turkey
<:-I	Dunce
<:I	Dunce
<{:-)}	In a bottle
<|-(	Chinese and doesn't like these kind of jokes
<|-(=	Chinese and unhappy
<|-)	Chinese
<<<<(:-)	Hat salesman
<I==I)	On four wheels
=:-)	I'm a punk rocker
-=#:-)	Wizard
=)	Variation on a theme...
=):-)	Uncle Sam
=.'v	(profile) Has mohawk
=:-#}	Punk rocker with a moustache
=:-(	punk rocker (real punk rockers don't smile)
=:-)	hosehead/punk rocker
=:-H	Football player
=|:-)	Abe Lincoln
=|:-)=	Abe Lincoln
===:[OO']>:===	Has been railroaded
=====:}	Snake
=0==	Mexican on a railroad!
=t==	Mexican run over by train
>-	Female
>-(	Displeasure
>-)	Sly as a fox
>:-(	Mad/Annoyed/Sick and tired of reading this nonsense
>:)	A little devil
>:*)	Bozo the Clown
>:^(	Headhunter (Amazon style)
>:-<	Mad
>:->	Devilish
>:-I	net.startrek
>;->	Winky and devil combined/A very lewd remark was just made.
>-^);>	Fish
>|->	Chinese
>< ><	Message about/to someone wearing socks
>-<	Absolutely livid!!
>->	China man
>>-O->	General Custer
>8^}>x(:())8=	AMF
>8~(	Wide eyed and miffed
>8~)	Wide eyed and sorted
>8~|	Wide eyed and indifferent
>B-)	Punk rocker - wearing raybans/Spikey
>-v	scowling
£:-)	Michael Hesseltine hairstyle
0-)	Cyclops/Arc-welder/Scuba diver
2B|^2B	Message about Shakespeare
3:*>	Rudolph the reindeer
3:[	Mean/Pet smiley
3:-o	Cow
3:o[	net.pets
4:-)	George Washington
5:-)	Elvis Presley
6\/)	Elephant
7:-)	Fred Flintstone
73	Good Bye and Best Wishes
8-#	Death
8(:-)	Mousketeer/Walt Disney
8)	Frog
8-)	Wearing glasses/excited/Sunglasses/Swimmer
8:-)	Glasses on forehead/Little girl/Wizard
8:]	Gorilla
8:-I	net.unix-wizards
8-]	Wow
8-|	Eyes wide with surprise/Suspense
8=:-)	Galloping Gourmet/Chef
8===>	Dickhead
88	Love and Kisses
8b	Bullfrog in mating season
8-O	Omigod!! (done after "rm -rf *" ?)/Took too many nodoz to work on thesis
8P	Bullfrog in mating season
B-(8	Sir Robin Day (a British BBC TV presenter, famed for his grumpy countenance, and who wears glasses and a bow tie)
B-)	Batman !!!/Horn-rimmed glasses/Sunglasses/I wear Raybans
B)	Frog wearing sunglasses
B-)-[<	Sunglasses and swimming trunks
B:-)	Sunglasses on head
B-|	Cheap sunglasses
B-D	Serves you right, dummy!!
C:#	Football player
C:-)	I'm wearing a Walkman/Large brain capacity
C|:-=	Charlie Chaplin
C=:-)	Galloping Gourmet/Chef
C=}>;*{))	Mega-Smiley/A drunk/Devilish chef with a toupee in an updraught A moustache, and a double chin
C=>:*'))	I'm a drunk demonic chef with a cold and a double chin.
CI:-=	I'm Charlie Chaplin
d.'v	(profile) Wearing hard hat
d: -)	I'm a baseball player (wearing a baseball hat)
d8=	Your pet beaver is wearing goggles and a hard hat
E-:-)	User is a Ham radio operator
E-:-I	Net.ham-radio
g-)	Smiley with pince-nez glasses/Wearing pince-nez glasses
i-=<***	CAUTION: has flame thrower
i-=<******o-(==<	CAUTION: has flame thrower and uses it!
K:P	User is a little kid with a propeller beenie
L:-)	I just graduated
M-)	Sees no evil
M-),:X),:-M	Sees no evil, hears no evil, speaks no evil
M:-)	Saluting
O-&-<	Doing nothing
O-(==<	Chastised and/or chagrined/Merely asleep.
o-)	Cyclops
O-)	Megaton Man On Patrol! (or else, user is a scuba diver)/Cyclops
O:-)	Acting very innocent (halo)/With halo
O>-<|=	Messages of interest to women
o>8<|=	Messages about interesting women
O-G-<	Pointing to self
oo-	Puzzled/Confused
O-S-<	In a hurry
O-Z-<	In a big hurry
P-)	Colonel Klink (Hogan's Heroes)/Getting fresh/I have an eyepatch
pp#	Cow
pq`#'	Bull
Q:-)	New graduate
R-)	Broken glasses
X-(	User just died/net.suicide

[Acronyms.Lst Version 2.00 5/6/2005
[Compiled by p_elphick@cix.co.uk aka cotal@cotal.co.uk]
[This file is copyright and may not be re-distributed outside the CIX conferencing system without permission]
